topics,domain_normalized,domain
243,asiaone com,asiaone.com
400,asjp cerist dz,asjp.cerist.dz
"1,243",aspirasiku id,aspirasiku.id
"299,243",aspor com tr,aspor.com.tr
243,asriran com,asriran.com
243,astroawani com,astroawani.com
"245,215,1",astv ru,astv.ru
"245,332,293",at s com,at-s.com
243,at wetter com,at.wetter.com
243,atarde com br,atarde.com.br
"350,363",atelevisao com,atelevisao.com
"352,243",athensmagazine gr,athensmagazine.gr
"400,1",athensvoice gr,athensvoice.gr
243,athirvu in,athirvu.in
"254,400",atmag co il,atmag.co.il
"126,243",atmarkit itmedia co jp,atmarkit.itmedia.co.jp
"328,299,243",atptour com,atptour.com
243,atribuna com br,atribuna.com.br
"350,1",atticomedy com,atticomedy.com
243,atv hu,atv.hu
"363,243",atv pe,atv.pe
"299,243",au sports yahoo com,au.sports.yahoo.com
"245,243",augsburger allgemeine de,augsburger-allgemeine.de
"299,325,243",aupaathletic com,aupaathletic.com
243,aussiedlerbote de,aussiedlerbote.de
243,authorspick com,authorspick.com
"57,126,243",auto cz,auto.cz
"607,83,400",autobild de,autobild.de
"57,400",autoblog com,autoblog.com
"57,400",autoblog nl,autoblog.nl
"57,243",autoexpress co uk,autoexpress.co.uk
350,autogear ru,autogear.ru
"57,400",automobile magazine fr,automobile-magazine.fr
"607,289,83,400",automobile tn,automobile.tn
"607,83,400",autoplus fr,autoplus.fr
"610,299,243",autorace jp,autorace.jp
"610,299,243",autoracing com br,autoracing.com.br
"610,299,243",autosport com,autosport.com
"126,129,243",av watch impress co jp,av.watch.impress.co.jp
243,avalfars ir,avalfars.ir
243,avaz ba,avaz.ba
"350,183",avclub com,avclub.com
"12,350",aviny com,aviny.com
"245,243",avis de deces ouest france fr,avis-de-deces.ouest-france.fr
"149,1,243",avis deces linternaute com,avis-deces.linternaute.com
243,avisen dk,avisen.dk
249,avtaf com,avtaf.com
"215,1,243",axar az,axar.az
243,axios com,axios.com
"363,245,350,1",axsam az,axsam.az
243,aydinlik com tr,aydinlik.com.tr
245,ayobandung com,ayobandung.com
245,ayoindonesia com,ayoindonesia.com
"363,1,243",ayojakarta com,ayojakarta.com
243,ayosemarang com,ayosemarang.com
"254,400",az jenata bg,az-jenata.bg
243,azcentral com,azcentral.com
"245,243",azfamily com,azfamily.com
243,azh kz,azh.kz
243,b92 net,b92.net
243,ba n1info com,ba.n1info.com
243,ba no,ba.no
243,babnet net,babnet.net
243,backchina com,backchina.com
"245,243",badische zeitung de,badische-zeitung.de
"247,561,243",baenegocios com,baenegocios.com
243,baharnews ir,baharnews.ir
247,bahianoticias com br,bahianoticias.com.br
245,bali tribunnews com,bali.tribunnews.com
243,balkanweb com,balkanweb.com
247,ballotpedia org,ballotpedia.org
"299,325,243",ballstep69 com,ballstep69.com
"364,299,325,243",ballzaa com,ballzaa.com
"561,126,243",bancaynegocios com,bancaynegocios.com
243,bandab com br,bandab.com.br
"4,354,243",bandsintown com,bandsintown.com
243,bandung kompas com,bandung.kompas.com
243,bandung urbanjabar com,bandung.urbanjabar.com
"350,243",bandungbarat suara com,bandungbarat.suara.com
"245,1",bangbara com,bangbara.com
243,bangka tribunnews com,bangka.tribunnews.com
243,bangkokbiznews com,bangkokbiznews.com
243,bangkokpost com,bangkokpost.com
245,bangla aajtak in,bangla.aajtak.in
243,bangla bdnews24 com,bangla.bdnews24.com
243,bangla hindustantimes com,bangla.hindustantimes.com
243,banglahunt com,banglahunt.com
243,banglanews24 com,banglanews24.com
243,banglanewslive co in,banglanewslive.co.in
243,banglatribune com,banglatribune.com
243,banglaxp com,banglaxp.com
243,banjarmasin tribunnews com,banjarmasin.tribunnews.com
"363,243",banker az,banker.az
561,bankier pl,bankier.pl
561,bankingnews gr,bankingnews.gr
243,banuri edu pk,banuri.edu.pk
"363,299,325,243,1",baobongdatv com,baobongdatv.com
"245,243",baochinhphu vn,baochinhphu.vn
243,baogiaothong vn,baogiaothong.vn
243,baomoi com,baomoi.com
243,baoquocte vn,baoquocte.vn
243,baotintuc vn,baotintuc.vn
243,barandbench com,barandbench.com
"299,325,243",barcanews org,barcanews.org
245,barcelona cat,barcelona.cat
"561,164",barchart com,barchart.com
"245,243",bari repubblica it,bari.repubblica.it
243,barkhat news,barkhat.news
"561,126,243",barrons com,barrons.com
"299,254,1,243",barstoolsports com,barstoolsports.com
350,bartarinha ir,bartarinha.ir
"303,299,243",baseball mag net,baseball-mag.net
"303,299,243",baseball omyutech com,baseball.omyutech.com
"303,299,243",baseball reference com,baseball-reference.com
"303,299,243",baseball sports smt docomo ne jp,baseball.sports.smt.docomo.ne.jp
"303,243",baseball yahoo co jp,baseball.yahoo.co.jp
561,baseconnect in,baseconnect.in
"164,561",bashgah com,bashgah.com
245,bashinform ru,bashinform.ru
"299,243",basketball realgm com,basketball.realgm.com
"299,304,243",basketball reference com,basketball-reference.com
"304,299,243",basketnews lt,basketnews.lt
"299,304,243",basketusa com,basketusa.com
243,bastillepost com,bastillepost.com
"1,243",batam pikiran rakyat com,batam.pikiran-rakyat.com
243,batam tribunnews com,batam.tribunnews.com
"245,243",baynews9 com,baynews9.com
243,bazarebours com,bazarebours.com
"364,299,325,243",bb jeinzmacias net,bb.jeinzmacias.net
243,bb lv,bb.lv
243,bbc co uk,bbc.co.uk
243,bbc com,bbc.com
"245,243",bc ctvnews ca,bc.ctvnews.ca
"561,164,444",bcb gov br,bcb.gov.br
"309,363,299,1,243",bcci tv,bcci.tv
561,bcs express ru,bcs-express.ru
"245,243",bd nl,bd.nl
243,bd pratidin com,bd-pratidin.com
243,bdnews24 com,bdnews24.com
"196,243",beachgrit com,beachgrit.com
"96,239,350",beaumonde nl,beaumonde.nl
243,beautifulnara com,beautifulnara.com
"126,1,243",bedavainternet com tr,bedavainternet.com.tr
243,beforeitsnews com,beforeitsnews.com
350,behindthevoiceactors com,behindthevoiceactors.com
"299,243",beinsports com,beinsports.com
"299,243",beinsports com tr,beinsports.com.tr
245,bel ru,bel.ru
245,belfastlive co uk,belfastlive.co.uk
243,belfasttelegraph co uk,belfasttelegraph.co.uk
243,belgavkar com,belgavkar.com
"96,254,400",bella tw,bella.tw
243,belnovosti by,belnovosti.by
243,belta by,belta.by
"245,243",bemparana com br,bemparana.com.br
"607,126,243",benchmark pl,benchmark.pl
243,bengali abplive com,bengali.abplive.com
243,bengali news18 com,bengali.news18.com
243,beninwebtv com,beninwebtv.com
"289,243",benri com,benri.com
"561,164",benzinga com,benzinga.com
"245,243",bergamonews it,bergamonews.it
243,beritadiy pikiran rakyat com,beritadiy.pikiran-rakyat.com
243,beritasatu com,beritasatu.com
243,berliner kurier de,berliner-kurier.de
243,berliner zeitung de,berliner-zeitung.de
243,berlingske dk,berlingske.dk
"299,243",bernabeudigital com,bernabeudigital.com
"299,325,243",besoccer com,besoccer.com
"607,83,400",bestcarweb jp,bestcarweb.jp
243,bestlifeonline com,bestlifeonline.com
"325,299,243",bet betcha pa,bet.betcha.pa
"299,243",bet9ja com,bet9ja.com
245,beteve cat,beteve.cat
"299,243",bethome gr,bethome.gr
"299,325,243",betsports91 com,betsports91.com
"245,1",betulmedia com,betulmedia.com
245,betulsamachar com,betulsamachar.com
"164,561",beursduivel be,beursduivel.be
243,beytoote com,beytoote.com
"239,561",bezprawnik pl,bezprawnik.pl
"299,325,243",bf 7m com cn,bf.7m.com.cn
243,bfm ru,bfm.ru
"363,243",bfmtv com,bfmtv.com
"103,299,325,243",bfv de,bfv.de
"299,325,243",bg futbol24 com,bg.futbol24.com
243,bg3 co,bg3.co
"528,126,243",bgr in,bgr.in
243,bharatbarta com,bharatbarta.com
243,bharian com my,bharian.com.my
243,bhaskar com,bhaskar.com
"209,173,400",bhg com,bhg.com
245,bhopalsamachar com,bhopalsamachar.com
"363,12,350,33,1",bhulekh mahabhumi gov in,bhulekh.mahabhumi.gov.in
"254,400",bibamagazine fr,bibamagazine.fr
350,biccy it,biccy.it
245,bienpublic com,bienpublic.com
243,big az,big.az
"299,243",bigfooty com,bigfooty.com
"164,561",bigpara hurriyet com tr,bigpara.hurriyet.com.tr
243,bigthink com,bigthink.com
"299,243",bigwin buzz,bigwin.buzz
350,bihann com,bihann.com
"245,1",biharbreakingnews in,biharbreakingnews.in
243,biharhelp in,biharhelp.in
245,bihartoday net,bihartoday.net
"310,299,289,250,243",bikehub co za,bikehub.co.za
"299,243",bikosports co tz,bikosports.co.tz
"243,1",bild de,bild.de
"254,400",bildderfrau de,bildderfrau.de
"227,243",bilim all kz,bilim-all.kz
"227,243",bilimdiler kz,bilimdiler.kz
"350,243",billedbladet dk,billedbladet.dk
243,bilyonaryo com,bilyonaryo.com
"299,243",bilyoner com,bilyoner.com
243,biobiochile cl,biobiochile.cl
243,birgun net,birgun.net
243,birminghammail co uk,birminghammail.co.uk
561,bisnis com,bisnis.com
"243,1",bisnis tempo co,bisnis.tempo.co
"299,325,243",bissaugames net,bissaugames.net
"299,325,243",bitbol la,bitbol.la
"86,254,400",biteki com,biteki.com
243,bitno net,bitno.net
"561,243",biz chosun com,biz.chosun.com
561,biz journal jp,biz-journal.jp
"215,1,243",biz liga net,biz.liga.net
561,biz nv ua,biz.nv.ua
243,biz today ua,biz.today.ua
"247,243",biziday ro,biziday.ro
561,bizjournals com,bizjournals.com
561,biznes interia pl,biznes.interia.pl
561,biznes radiozet pl,biznes.radiozet.pl
561,biznes wprost pl,biznes.wprost.pl
243,biznesinfo pl,biznesinfo.pl
"103,164,561",bizportal co il,bizportal.co.il
"350,33",blabbermouth net,blabbermouth.net
243,bladi net,bladi.net
"299,243",bleachernation com,bleachernation.com
"299,243",bleacherreport com,bleacherreport.com
"304,299,243",bleague jp,bleague.jp
"126,243",bleepingcomputer com,bleepingcomputer.com
"245,299,243",blesk cz,blesk.cz
243,bleskovky zoznam sk,bleskovky.zoznam.sk
243,blic rs,blic.rs
243,blick ch,blick.ch
"350,243",blikk hu,blikk.hu
243,blitz bg,blitz.bg
243,bljesak info,bljesak.info
"322,299,243",blog rct com,blog-rct.com
"126,243",blog tech news me,blog.tech-news.me
"245,23,243",blogdoadielsongalvao com,blogdoadielsongalvao.com
"215,126,243,140",blogdumoderateur com,blogdumoderateur.com
243,blogs oglobo globo com,blogs.oglobo.globo.com
245,blogsicilia it,blogsicilia.it
"250,243",blogto com,blogto.com
"299,243",blogvisaodemercado pt,blogvisaodemercado.pt
245,bloknot volgograd ru,bloknot-volgograd.ru
"299,609,243",bloodyelbow com,bloodyelbow.com
561,bloomberg co jp,bloomberg.co.jp
561,bloomberg com,bloomberg.com
561,bloomberght com,bloomberght.com
243,blora pikiran rakyat com,blora.pikiran-rakyat.com
"363,1,243",blora suaramerdeka com,blora.suaramerdeka.com
"239,561,236",bls gov,bls.gov
"299,325,243",bluelivetv com,bluelivetv.com
"23,243",bluradio com,bluradio.com
243,bmkg go id,bmkg.go.id
243,bn mtnews24 com,bn.mtnews24.com
243,bndestem nl,bndestem.nl
245,bnews com br,bnews.com.br
243,bnn de,bnn.de
561,bnnbloomberg ca,bnnbloomberg.ca
"245,247",bnr bg,bnr.bg
"23,243",bnr nl,bnr.nl
"300,299,243",boardroom tv,boardroom.tv
"164,561",boerse de,boerse.de
245,boersennews de,boersennews.de
245,bogor pikiran rakyat com,bogor.pikiran-rakyat.com
"96,350",boiteascoop com,boiteascoop.com
"299,243",bola com,bola.com
"325,299,243",bola net,bola.net
"243,1",bola okezone com,bola.okezone.com
"325,299,243",bolasport com,bolasport.com
"299,325,243",bolavip com,bolavip.com
"299,325,243",bold dk,bold.dk
245,bolgegundem com,bolgegundem.com
"12,350",bollymoviereviewz com,bollymoviereviewz.com
"12,350",bollywoodhungama com,bollywoodhungama.com
"12,350",bollywoodlivehd com,bollywoodlivehd.com
"12,350",bollywoodshaadis com,bollywoodshaadis.com
243,bolnews com,bolnews.com
"245,243",bologna repubblica it,bologna.repubblica.it
561,bolsamadrid es,bolsamadrid.es
"561,164",bolsamania com,bolsamania.com
243,bom gov au,bom.gov.au
"245,243",bomba32 com,bomba32.com
"299,325,243",bombardir ru,bombardir.ru
"450,173,400",bonappetit com,bonappetit.com
"350,243",bondowoso jatimnetwork com,bondowoso.jatimnetwork.com
"299,325,243",bongda com vn,bongda.com.vn
"299,325,243",bongda wap vn,bongda.wap.vn
"299,325,243",bongda24h vn,bongda24h.vn
"325,299,243",bongdalu vip,bongdalu.vip
"299,325,243",bongdanet vn,bongdanet.vn
"299,325,243",bongdaplus vn,bongdaplus.vn
"299,325,243",bongdaso12 com,bongdaso12.com
"299,325,243",bongdaso66 com,bongdaso66.com
"299,325,243",bongdawap com,bongdawap.com
"12,350",bongohunt com,bongohunt.com
"172,400",bonviveur es,bonviveur.es
"243,1",boost mobileposse com,boost.mobileposse.com
243,borba me,borba.me
243,borna news,borna.news
561,borsagundem com,borsagundem.com
"164,561",borsaitaliana it,borsaitaliana.it
561,borsen dagbladet no,borsen.dagbladet.no
"561,243",borsen dk,borsen.dk
243,borsonline hu,borsonline.hu
"350,243",bossip com,bossip.com
"245,243,1",boston com,boston.com
243,bostonglobe com,bostonglobe.com
243,botasot info,botasot.info
350,boundingintocomics com,boundingintocomics.com
243,bournemouthecho co uk,bournemouthecho.co.uk
561,bourse boursorama com,bourse.boursorama.com
561,boursedirect fr,boursedirect.fr
"561,164",boursier com,boursier.com
"561,164,444",boursorama com,boursorama.com
"254,400",bovary gr,bovary.gr
"196,299,243",bowling rankseeker net,bowling.rankseeker.net
"299,243,609",boxing social com,boxing-social.com
