topics,domain_normalized,domain,subscription_status,evidence_url,pricing_url,pricing_url_method,pricing_page_ok,dynamic_components,popup_overlay,detected_prices,wayback_available,wayback_url,wayback_page_ok,notes
"299,325,243",liverpool no,liverpool.no,no subscription,https://liverpool.no,,,,,,,,,,
"245,299,243",liverpoolecho co uk,liverpoolecho.co.uk,no subscription,https://liverpoolecho.co.uk,,,,,,,,,,
"325,299,243",liverpoolfc com,liverpoolfc.com,subscription,https://www.liverpoolfc.com/allred,https://www.liverpoolfc.com/allred,common_path,yes,yes,yes,,no,,no,no prices found in static HTML | likely JS-rendered content | possible modal or overlay UI
"299,104,243",livescore bz,livescore.bz,inaccessible,,,,,,,,,,,
"299,243",livescore co kr,livescore.co.kr,inaccessible,,,,,,,,,,,
"299,243",livescore com,livescore.com,no subscription,https://livescore.com,,,,,,,,,,
"299,243",livescore cz,livescore.cz,no subscription,https://livescore.cz,,,,,,,,,,
"299,243",livescore in,livescore.in,no subscription,https://livescore.in,,,,,,,,,,
"299,243",livescore mobi,livescore.mobi,no subscription,https://livescore.mobi,,,,,,,,,,
"325,299,243",livescores biz,livescores.biz,inaccessible,,,,,,,,,,,
"299,243,325",livescores com,livescores.com,no subscription,https://livescores.com,,,,,,,,,,
"299,180,243",livescores worldsnookerdata com,livescores.worldsnookerdata.com,inaccessible,,,,,,,,,,,
"245,243",livesicilia it,livesicilia.it,no subscription,https://livesicilia.it,,,,,,,,,,
"299,325,243",livesoccertv com,livesoccertv.com,inaccessible,,,,,,,,,,,
"299,243",livesport com,livesport.com,no subscription,https://livesport.com,,,,,,,,,,
"299,243",livesport cz,livesport.cz,no subscription,https://livesport.cz,,,,,,,,,,
"299,243",livesport ru,livesport.ru,no subscription,https://livesport.ru,,,,,,,,,,
"328,299,250,243",livetennis it,livetennis.it,no subscription,https://livetennis.it,,,,,,,,,,
"299,243",livetulokset com,livetulokset.com,no subscription,https://livetulokset.com,,,,,,,,,,
243,liveuamap com,liveuamap.com,inaccessible,,,,,,,,,,,
245,livio com,livio.com,inaccessible,,,,,,,,,,,
"245,289",lm pl,lm.pl,no subscription,https://lm.pl,,,,,,,,,,
245,lmcipolletti com,lmcipolletti.com,inaccessible,,,,,,,,,,,
245,lmneuquen com,lmneuquen.com,inaccessible,,,,,,,,,,,
"245,243",lne es,lne.es,inaccessible,,,,,,,,,,,
243,local newsbreak com,local.newsbreak.com,no subscription,https://local.newsbreak.com,,,,,,,,,,
400,lojas magazineluiza com br,lojas.magazineluiza.com.br,inaccessible,,,,,,,,,,,
243,lokmat com,lokmat.com,no subscription,https://lokmat.com,,,,,,,,,,
243,lokmat news18 com,lokmat.news18.com,inaccessible,,,,,,,,,,,
"239,243,1",lokmatnews in,lokmatnews.in,no subscription,https://lokmatnews.in,,,,,,,,,,
243,loksatta com,loksatta.com,no subscription,https://loksatta.com,,,,,,,,,,
243,lombokinsider com,lombokinsider.com,no subscription,https://lombokinsider.com,,,,,,,,,,
"12,363,350",looper com,looper.com,no subscription,https://looper.com,,,,,,,,,,
243,lopezdoriga com,lopezdoriga.com,no subscription,https://lopezdoriga.com,,,,,,,,,,
350,los40 com,los40.com,no subscription,https://los40.com,,,,,,,,,,
"245,243",losandes com ar,losandes.com.ar,inaccessible,,,,,,,,,,,
"350,48",lostfilm tv,lostfilm.tv,no subscription,https://lostfilm.tv,,,,,,,,,,
243,lostiempos com,lostiempos.com,inaccessible,,,,,,,,,,,
"360,400",loudersound com,loudersound.com,no subscription,https://loudersound.com,,,,,,,,,,
"350,33",loudwire com,loudwire.com,no subscription,https://loudwire.com,,,,,,,,,,
"149,350",loversranker com,loversranker.com,inaccessible,,,,,,,,,,,
"239,243",lpderecho pe,lpderecho.pe,no subscription,https://lpderecho.pe,,,,,,,,,,
"299,315,243",lpga com,lpga.com,no subscription,https://lpga.com,,,,,,,,,,
"299,315,243",lpga or jp,lpga.or.jp,no subscription,https://lpga.or.jp,,,,,,,,,,
"607,126,243",lputorrents xyz,lputorrents.xyz,no subscription,https://lputorrents.xyz,,,,,,,,,,
"245,243",lragir am,lragir.am,inaccessible,,,,,,,,,,,
243,lrytas lt,lrytas.lt,no subscription,https://lrytas.lt,,,,,,,,,,
"164,561",ls tc de,ls-tc.de,subscription,https://ls-tc.de,,none,no,,,,no,,no,could not determine pricing URL
"561,164",lse co uk,lse.co.uk,inaccessible,,,,,,,,,,,
243,lsm lv,lsm.lv,inaccessible,,,,,,,,,,,
243,ltn com tw,ltn.com.tw,no subscription,https://ltn.com.tw,,,,,,,,,,
245,lu24 com ar,lu24.com.ar,no subscription,https://lu24.com.ar,,,,,,,,,,
245,lublin112 pl,lublin112.pl,inaccessible,,,,,,,,,,,
245,luccaindiretta it,luccaindiretta.it,no subscription,https://luccaindiretta.it,,,,,,,,,,
350,lucidaa com,lucidaa.com,no subscription,https://lucidaa.com,,,,,,,,,,
243,lun com,lun.com,inaccessible,,,,,,,,,,,
"245,243",lunion fr,lunion.fr,inaccessible,,,,,,,,,,,
243,lurer com,lurer.com,no subscription,https://lurer.com,,,,,,,,,,
243,luxurylaunches com,luxurylaunches.com,subscription,https://luxurylaunches.com,https://luxurylaunches.com/,fallback_homepage,yes,yes,yes,$650; $500; $200; $1; $4; $2; $150; $250,no,,no,likely JS-rendered content | possible modal or overlay UI
243,lvv2 com,lvv2.com,no subscription,https://lvv2.com,,,,,,,,,,
"245,243",lvz de,lvz.de,no subscription,https://lvz.de,,,,,,,,,,
243,lyonmag com,lyonmag.com,no subscription,https://lyonmag.com,,,,,,,,,,
"299,364,243",m2 koooora online com,m2.koooora-online.com,inaccessible,,,,,,,,,,,
"363,1,250,23,243",m24 ru,m24.ru,inaccessible,,,,,,,,,,,
"299,243",m4sport hu,m4sport.hu,no subscription,https://m4sport.hu,,,,,,,,,,
243,maailm postimees ee,maailm.postimees.ee,no subscription,https://maailm.postimees.ee,,,,,,,,,,
243,maalaimalar com,maalaimalar.com,inaccessible,,,,,,,,,,,
243,maannews net,maannews.net,inaccessible,,,,,,,,,,,
243,maariv co il,maariv.co.il,no subscription,https://maariv.co.il,,,,,,,,,,
"103,243",maaseuduntulevaisuus fi,maaseuduntulevaisuus.fi,no subscription,https://maaseuduntulevaisuus.fi,,,,,,,,,,
"50,350",mabui onna com,mabui-onna.com,no subscription,https://mabui-onna.com,,,,,,,,,,
"299,243",mackolik com,mackolik.com,no subscription,https://mackolik.com,,,,,,,,,,
"164,561",macrotrends net,macrotrends.net,inaccessible,,,,,,,,,,,
"126,140,243",macrumors com,macrumors.com,subscription,https://macrumors.com,https://www.macrumors.com/,fallback_homepage,yes,yes,yes,$99; $399.99; $149; $199; $69.99; $14.99; $139; $19.99; $6.99; $119.99; $149.99; $30; $339.99; $60; $79.99; $109.99; $89.99; $99.99; $25.98; $39.99; $99.98; $149.95; $45.99; $54.99; $63.99,no,,no,likely JS-rendered content | possible modal or overlay UI
"299,243",macskorlari net,macskorlari.net,no subscription,https://macskorlari.net,,,,,,,,,,
"254,400,1",madame lefigaro fr,madame.lefigaro.fr,no subscription,https://madame.lefigaro.fr,,,,,,,,,,
"96,254,400,1",madamefigaro jp,madamefigaro.jp,no subscription,https://madamefigaro.jp,,,,,,,,,,
400,madhyamam com,madhyamam.com,no subscription,https://madhyamam.com,,,,,,,,,,
243,madre3online ir,madre3online.ir,inaccessible,,,,,,,,,,,
"245,239",madrid es,madrid.es,no subscription,https://madrid.es,,,,,,,,,,
243,mafaro co uk,mafaro.co.uk,no subscription,https://mafaro.co.uk,,,,,,,,,,
"400,243",mag elcomercio pe,mag.elcomercio.pe,no subscription,https://mag.elcomercio.pe,,,,,,,,,,
"215,400,1,243",mag2 com,mag2.com,inaccessible,,,,,,,,,,,
245,magadanmedia ru,magadanmedia.ru,inaccessible,,,,,,,,,,,
"217,400,218,243",magazine windtre it,magazine.windtre.it,inaccessible,,,,,,,,,,,
"243,1",magerta ir,magerta.ir,no subscription,https://magerta.ir,,,,,,,,,,
243,magyarnemzet hu,magyarnemzet.hu,no subscription,https://magyarnemzet.hu,,,,,,,,,,
"249,561,164",maharashtranama com,maharashtranama.com,no subscription,https://maharashtranama.com,,,,,,,,,,
243,maharashtratimes com,maharashtratimes.com,no subscription,https://maharashtratimes.com,,,,,,,,,,
"1,243",maidonanews jp,maidonanews.jp,no subscription,https://maidonanews.jp,,,,,,,,,,
243,mail rediff com,mail.rediff.com,no subscription,https://mail.rediff.com,,,,,,,,,,
243,mainichi jp,mainichi.jp,subscription,https://mainichi.jp/info/subscribe/,https://mainichi.jp/info/subscribe/,common_path,yes,no,yes,,no,,no,possible modal or overlay UI
"254,350",mainichikirei jp,mainichikirei.jp,no subscription,https://mainichikirei.jp,,,,,,,,,,
243,mainpost de,mainpost.de,no subscription,https://mainpost.de,,,,,,,,,,
"325,243",maisfutebol iol pt,maisfutebol.iol.pt,no subscription,https://maisfutebol.iol.pt,,,,,,,,,,
"211,400",maison travaux fr,maison-travaux.fr,inaccessible,,,,,,,,,,,
"299,325,243",makanbola com,makanbola.com,no subscription,https://makanbola.com,,,,,,,,,,
243,makassar tribunnews com,makassar.tribunnews.com,inaccessible,,,,,,,,,,,
243,makeleio gr,makeleio.gr,no subscription,https://makeleio.gr,,,,,,,,,,
243,mako co il,mako.co.il,no subscription,https://mako.co.il,,,,,,,,,,
245,malagahoy es,malagahoy.es,no subscription,https://malagahoy.es,,,,,,,,,,
